,CompleteInfo?,UUID,Multipack?,Order,AlphaTitle,IMDBLink,DisplayTitle,Year,Rating,RunTime,Director,Starring,Genres,Tags,Formats,Synopsis,ImageLink,Ra Too?
Amanda,Y,tt0078748,,,Alien 1,https://www.imdb.com/title/tt0078748,Alien,1979,R,1:57,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt","Horror, Sci-Fi", ,,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission., ,
Amanda,Y,tt0090605,,,Alien 2,https://www.imdb.com/title/tt0090605,Aliens,1986,R,2:17,James Cameron,"Sigourney Weaver, Paul Reisier, Bill Paxton, Carrie Henn","Action, Adventure, Sc-Fi, Thriller", ,,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.", ,
Amanda,Y,tt0103644,,,Alien 3,https://www.imdb.com/title/tt0103644,Alien 3,1992,R,1:54,David Fincher,"Sigourney Weaver, Charles S. Dutton, Charles Dance","Action, Horror, Sci-Fi", ,,"Returning from LV-426, Ellen Ripley crash-lands on the maximum-security prison Fiorina 161, where she discovers that she has unwittingly brought along an unwelcome visitor.", ,
Amanda,Y,tt0118583,,,Alien 4,https://www.imdb.com/title/tt0118583,Alien Resurrection,1997,R,1:49,Jean-Pierre Jeunet,"Sigourney Weaver, Winona Ryder, Ron Perlman, Dominique Pinon","Action, Horror, Sci-Fi", ,,"Two centuries after her death, a powerful human/alien hybrid clone of Ellen Ripley aids a crew of space pirates in stopping the aliens from reaching Earth.", ,
Amanda,Y,tt2316204,,,Alien 5,https://www.imdb.com/title/tt2316204,Alien: Covenant,2017,R,2:02,Ridley Scott,"Dan O'Bannon, Ronald Shusett, Jack Paglen","Horror, Sci-Fi, Thriller", ,,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.", ,
Amanda,,,,,American Hustle,https://www.imdb.com/title/,American Hustle,,,,,,, ,,, ,
Amanda,,,,,American Sniper,https://www.imdb.com/title/,American Sniper,,,,,,, ,,, ,
Amanda,,,,,Argo,https://www.imdb.com/title/,Argo,,,,,,, ,,, ,
Amanda,,,,,Artist,https://www.imdb.com/title/,Artist,,,,,,, ,,, ,
Amanda,,tt2094766,,,Assassin's Creed,https://www.imdb.com/title/tt2094766,Assassin's Creed,2016,PG-13,1:55,Justin Kurzel,"Michael Fassbender, Marion Cotillard","Action, Adventure, Sci-Fi", ,D,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.", ,
